Title,Part,Persons,Primary person,Wikidata ID,Primary person role,Edition,Language/s,Publication statement,Extent,Type of content,Series,Note,ISBN,Subject,Location,Shelf mark,Subject heading,Further documents,Collective title,Manufacture statement,Abstract,Corporate body,Record place and date,Form of work,Notes,Title of work,Wrong ISBN,Link to digital copy,Bibliogr. context,Further information,Copyright date,Further title,Parallel title proper
"Tārīḫ-i Balʿamī : Muḥammad Ibn-Ǧarīr Tabarī / tarǧuma-ī Abū-Ali Balʿamī, bi taṣḥīḥ-i Malik aš-Šuʿarāʾ Bahār wa Muḥammad Parwīn Gunābādī تاریخ بلعمی : محمدبن جریر طبری̄ / ترجمه ابوعلی بلعمی, به تصحیح ملک‌الشعرای بهار و محمد پروین گنابادی",,"Balʿamī, Muḥammad Ibn-Muḥammad *946-973* [VerfasserIn] ; 946-973* [VerfasserIn] Bahār, Muḥammad Taqī *1886-1951* [MitwirkendeR] ; بهار, محمد تقی *1886-1951* [MitwirkendeR] ; Gunābādī, Muḥammad Parwīn *1903-1978* [MitwirkendeR] ; 1903-1978* [MitwirkendeR] Ṭabarī, Muḥammad Ibn-Ǧarīr aṭ- *839-923* [VerfasserIn des Bezugswerks] ; طبری, محمد بن جریر *839-923* [VerfasserIn des Bezugswerks]",Abu Ali Bal'ami,Q2663540,VerfasserIn,Čāp-i 5 - چاپ 5,Persian,"Tihrān : Hermes ; تهران : هرمس, 1401 h.š. = 2022","16, 1056 Seiten",Quelle,,"Ersch.-Jahr 1401 h.š. = 2022 In arabischer Schrift, persisch",978-964-363-222-9,18.69 Iranische Sprachen und Literaturen 15.76 Vorderer und mittlerer Orient Geschichte 15.20 Allgemeine Weltgeschichte 15.01 Historiographie | KJQ 670 Weltgeschichte {Persisch} KJQ 515 Literarische Übersetzungen {Neupersisch},ALS1,KDB 670 AABl:z = 2024 A 4982,"*Ṭabarī, Muḥammad Ibn-Ǧarīr aṭ- *839-923* / Übersetzung / Persisch *Geschichtsschreibung ; Persisch",,,,,,,,,,,,,,,,
Fihrist-i nusḫahā-i ḫaṭṭī-i Kitābḫāna-i buzurg-i Haḍrat-i Āyatallāh al-ʿUẓmā-i Marʿašī Naǧafī : ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī : Īrān - Qum / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Mīr Maḥmūd Mūsawī فهرست نسخه‌هاى خطى کتابخانه بزرگ حضرت آیت الله العظمى مرعشى نجفى : گنجينۀ جهانى مخطوطات اسلامى : ایران - قم / سید محمود مرعشی نجفی ; با همکاری میر محمود موسوی,Ǧild 63: 24901-25300 / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Mīr Maḥmūd Mūsawī جلد ۶۳: ۲۴۹۰۱-۲۵۳۰۰ / سید محمود مرعشی نجفی ; با همکاری میر محمود موسوی,"Marʿašī, Maḥmūd *1941-* [VerfasserIn] ; 1941-* [VerfasserIn] Mūsawī, Mīr Maḥmūd *1965-* [MitwirkendeR] ; 1965-* [MitwirkendeR]","Marʿašī, Maḥmūd",,VerfasserIn,Čāp-i awwal - چاپ اول,"Persian, Arabic","Qum : Kitābḫāna-i Buzurg-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī wa ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī ; قم : کتابخانه بزرگ حضرت آیت الله العظمی مرعشی نجفی و گنجینه جهانی مخطوطات اسلامی, 1401 h.š. = 1444 h.q. = 2022",728 Seiten : Faksimiles,Katalog,,"In arabischer Schrift, persisch und arabisch",978-600-161-158-2,KJQ 200 Allgemeines {Neupersisch} APH 700 Orientalische Handschriften {Kataloge} APC 600 Asien {Handschriftenkataloge},HG-LS,APA 800 IRN QOM = FA 12716:63,,,,,,Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ] Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ],Katalog der Handschriften der Wissenschaftlichen Allgemeinbibliothek in Qum/Iran,,,,,,,,,,
Fihrist-i nusḫahā-i ḫaṭṭī-i Kitābḫāna-i buzurg-i Haḍrat-i Āyatallāh al-ʿUẓmā-i Marʿašī Naǧafī : ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī : Īrān - Qum / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad ʿAlī Ṣāliḥī فهرست نسخه‌هاى خطى کتابخانه بزرگ حضرت آيت الله العظمى مرعشى نجفى : گنجينۀ جهانى مخطوطات اسلامى : ایران - قم / سید محمود مرعشی نجفی ; با همکاری محّمد علی صالحی,Ǧild 62: 24500-24900 / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad ʿAlī Ṣāliḥī جلد ۶۲: ۲۴۵۰۰-۲۴۹۰۰ / سید محمود مرعشی نجفی ; با همکاری محّمد علی صالحی,"Marʿašī, Maḥmūd *1941-* [VerfasserIn] ; 1941-* [VerfasserIn] Ṣāliḥī, Muḥammad ʿAlī *1971-* [MitwirkendeR] ; صالحى, محمد على *1971-* [MitwirkendeR]","Marʿašī, Maḥmūd",,VerfasserIn,Čāp-i awwal - چاپ اول,"Persian, Arabic","Qum : Kitābḫāna-i Buzurg-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī wa ganǧīna-i ǧahānī maḫṭūṭāt-i islāmī ; قم : کتابخانه بزرگ حضرت آیت الله العظمی مرعشی نجفی و گنجینه جهانی مخطوطات اسلامی, 1401 h.š. = 1444 h.q. = 2022",701 Seiten : Faksimiles,Katalog,,"In arabischer Schrift, persisch und arabisch",978-600-161-157-5,KJQ 200 Allgemeines {Neupersisch} APH 700 Orientalische Handschriften {Kataloge} APC 600 Asien {Handschriftenkataloge},HG-LS,APA 800 IRN QOM = FA 12716:62,,,,,,Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ] Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ],Katalog der Handschriften der Wissenschaftlichen Allgemeinbibliothek in Qum/Iran,,,,,,,,,,
Fihrist-i nusḫahā-i ḫaṭṭī-i Kitābḫāna-i buzurg-i Haḍrat-i Āyatallāh al-ʿUẓmā-i Marʿašī Naǧafī : ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī : Īrān - Qum / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad Ḥusain Amīnī فهرست نسخه‌هاى خطى کتابخانه بزرگ حضرت آیت الله العظمى مرعشى نجفى : گنجينۀ جهانى مخطوطات اسلامى : ایران - قم / سید محمود مرعشی نجفی; باهمکاری محّمد حسین امینی,Ǧild 61: 24101-24500 / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad Ḥusain Amīnī جلد ۶۱: ۲۴۱۰۱ - ۲۴۵۰۰ / سید محمود مرعشی نجفی ; با همکاری محّمد حسین امینی,"Marʿašī, Maḥmūd *1941-* [VerfasserIn] ; 1941-* [VerfasserIn] Amīnī, Muḥammad Ḥusain *1967-* [MitwirkendeR] ; امینی, محمد حسین *1967-* [MitwirkendeR]","Marʿašī, Maḥmūd",,VerfasserIn,Čāp-i awwal - چاپ اول,"Persian, Arabic","Qum : Kitābḫāna-i Buzurg-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī wa ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī ; قم : کتابخانه بزرگ حضرت آیت الله العظمی مرعشی نجفی و گنجینه جهانی مخطوطات اسلامی, 1401 h.š. = 1444 h.q. = 2022",946 Seiten : Faksimiles,Katalog,,"In arabischer Schrift, persisch und arabisch",978-600-161-156-8,KJQ 200 Allgemeines {Neupersisch} APH 700 Orientalische Handschriften {Kataloge} APC 600 Asien {Handschriftenkataloge},HG-LS,APA 800 IRN QOM = FA 12716:61,,,,,,Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ] Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ],Katalog der Handschriften der Wissenschaftlichen Allgemeinbibliothek in Qum/Iran,,,,,,,,,,
Fihrist-i nusḫahā-i ḫaṭṭī-i Kitābḫāna-i buzurg-i Haḍrat-i Āyatallāh al-ʿUẓmā-i Marʿašī Naǧafī : ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī : Īrān - Qum / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad ʿAlī Ṣāliḥī فهرست نسخه‌هاى خطى کتابخانه بزرگ حضرت آیت الله العظمى مرعشى نجفى : گنجينۀ جهانى مخطوطات اسلامى : ایران - قم / سید محمود مرعشی نجفی ; با همکاری محّمد علی صالحی,Ǧild 60: 23701-24100 / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad ʿAlī Ṣāliḥī جلد ۶۰: ۲۳۷۰۱ - ۲۴۱۰۰ / سید محمود مرعشی نجفی ; با همکاری محّمد علی صالحی,"Marʿašī, Maḥmūd *1941-* [VerfasserIn] ; 1941-* [VerfasserIn] Ṣāliḥī, Muḥammad ʿAlī *1971-* [MitwirkendeR] ; صالحى, محمد على *1971-* [MitwirkendeR]","Marʿašī, Maḥmūd",,VerfasserIn,Čāp-i awwal - چاپ اول,"Persian, Arabic","Qum : Kitābḫāna-i Buzurg-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī wa ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī ; قم : کتابخانه بزرگ حضرت آیت الله العظمی مرعشی نجفی و گنجینه جهانی مخطوطات اسلامی, 1401 h.š. = 1444 h.q. = 2022",792 Seiten : Faksimiles,Katalog,,"In arabischer Schrift, persisch und arabisch",978-600-161-155-1,KJQ 200 Allgemeines {Neupersisch} APH 700 Orientalische Handschriften {Kataloge} APC 600 Asien {Handschriftenkataloge},HG-LS,APA 800 IRN QOM = FA 12716:60,,,,,,Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ] Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ],Katalog der Handschriften der Wissenschaftlichen Allgemeinbibliothek in Qum/Iran,,,,,,,,,,
Fihrist-i nusḫahā-i ḫaṭṭī-i Kitābḫāna-i buzurg-i Haḍrat-i Āyatallāh al-ʿUẓmā-i Marʿašī Naǧafī : ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī : Īrān - Qum / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad Ḥusain Amīnī فهرست نسخه‌هاى خطى کتابخانه بزرگ حضرت آیت الله العظمى مرعشى نجفى : گنجينۀ جهانى مخطوطات اسلامى : ایران - قم / سید محمود مرعشی نجفی ; با همکاری محّمد حسین امینی,Ǧild 59: 23301-23700 / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad Ḥusain Amīnī جلد ۵۹: ۲۳۳۰۱ - ۲۳۷۰۰ / سید محمود مرعشی نجفی ; با همکاری محّمد حسین امینی,"Marʿašī, Maḥmūd *1941-* [VerfasserIn] ; 1941-* [VerfasserIn] Amīnī, Muḥammad Ḥusain *1967-* [MitwirkendeR] ; امینی, محمد حسین *1967-* [MitwirkendeR]","Marʿašī, Maḥmūd",,VerfasserIn,Čāp-i awwal - چاپ اول,"Persian, Arabic","Qum : Kitābḫāna-i Buzurg-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī wa ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī ; قم : کتابخانه بزرگ حضرت آیت الله العظمی مرعشی نجفی و گنجینه جهانی مخطوطات اسلامی, 1401 h.š. = 1443 h.q. = 2022",859 Seiten : Faksimiles,Katalog,,"In arabischer Schrift; Text persisch, arabisch",978-600-161-152-0,KJQ 200 Allgemeines {Neupersisch} APH 700 Orientalische Handschriften {Kataloge} APC 600 Asien {Handschriftenkataloge},HG-LS,APA 800 IRN QOM = FA 12716:59,,,,,,Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ] Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ],Katalog der Handschriften der Wissenschaftlichen Allgemeinbibliothek in Qum/Iran,,,,,,,,,,
Fihrist-i nusḫahā-i ḫaṭṭī-i Kitābḫāna-i buzurg-i Haḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī : ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī : Īrān - Qum / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Mīr Maḥmūd Mūsawī فهرست نسخه‌هاى خطى کتابخانه بزرگ حضرت آيت الله العظمى مرعشى نجفى : گنجينۀ جهانى مخطوطات اسلامى : ایران - قم / سید محمود مرعشی نجفی ; با همکاری میر محمود موسوی,Ǧild 58: 22901-23300 / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Mīr Maḥmūd Mūsawī جلد ۵۸: ۲۲۹۰۱ - ۲۳۳۰۰ / سید محمود مرعشی نجفی ; با همکاری میرمحمود موسوی,"Marʿašī, Maḥmūd *1941-* [VerfasserIn] ; 1941-* [VerfasserIn] Mūsawī, Mīr Maḥmūd *1965-* [MitwirkendeR] ; 1965-* [MitwirkendeR]","Marʿašī, Maḥmūd",,VerfasserIn,Čāp-i awwal - چاپ اول,"Persian, Arabic","Qum : Kitābḫāna-i Buzurg-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī wa ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī ; قم : کتابخانه بزرگ حضرت آیت الله العظمی مرعشی نجفی و گنجینه جهانی مخطوطات اسلامی, 1401 h.š. = 1444 h.q. = 2022",874 Seiten : Faksimiles,Katalog,,"In arabischer Schrift, persisch und arabisch",978-600-161-164-3,KJQ 200 Allgemeines {Neupersisch} APH 700 Orientalische Handschriften {Kataloge} APC 600 Asien {Handschriftenkataloge},HG-LS,APA 800 IRN QOM = FA 12716:58,,,,,,Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ] Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ],Katalog der Handschriften der Wissenschaftlichen Allgemeinbibliothek in Qum/Iran,,,,,,,,,,
Fihrist-i nusḫahā-i ḫaṭṭī-i Kitābḫāna-i buzurg-i Haḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī : ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī : Īrān - Qum / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad Ḥusain Amīnī فهرست نسخه‌هاى خطى کتابخانه بزرگ حضرت آيت الله العظمى مرعشى نجفى : گنجينۀ جهانى مخطوطات اسلامى : ایران - قم / سید محمود مرعشی نجفی ; با همکاری محّمد حسین امینی,Ǧild 57: 22501-22900  / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad Ḥusain Amīnī جلد ۵۷: ۲۲۵۰۱-۲۲۹۰۰ / سید محمود مرعشی نجفی ; با همکاری محّمد حسین امینی,"Marʿašī, Maḥmūd *1941-* [VerfasserIn] ; 1941-* [VerfasserIn] Amīnī, Muḥammad Ḥusain *1967-* [MitwirkendeR] ; امینی, محمد حسین *1967-* [MitwirkendeR]","Marʿašī, Maḥmūd",,VerfasserIn,Čāp-i awwal - چاپ اول,"Persian, Arabic","Qum : Kitābḫāna-i Buzurg-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī wa ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī ; قم : کتابخانه بزرگ حضرت آیت الله العظمی مرعشی نجفی و گنجینه جهانی مخطوطات اسلامی, 1401 h.š. = 1443 h.q. = 2022",764 Seiten : Faksimiles,Katalog,,"In arabischer Schrift, persisch und arabisch",978-600-161-163-6,KJQ 200 Allgemeines {Neupersisch} APH 700 Orientalische Handschriften {Kataloge} APC 600 Asien {Handschriftenkataloge},HG-LS,APA 800 IRN QOM = FA 12716:57,,,,,,Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ] Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ],Katalog der Handschriften der Wissenschaftlichen Allgemeinbibliothek in Qum/Iran,,,,,,,,,,
Fihrist-i nusḫahā-i ḫaṭṭī-i Kitābḫāna-i buzurg-i Haḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī : ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī : Īrān - Qum / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad Ḥusain Ūsaṭī فهرست نسخه‌هاى خطى کتابخانه بزرگ حضرت ايت الله العظمى مرعشى نجفى : گنجينۀ جهانى مخطوطات اسلامى : ایران - قم / سید محمود مرعشی نجفی ; با همکاری محّمد حسین اوسطی,Ǧild 51: 20101-20500 / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad Ḥusain Ūsaṭī جلد ۵۱: ۲۰۱۰۱-۲۰۵۰۰ / سید محمود مرعشی نجفی ; با همکاری محّمد حسین اوسطی,"Marʿašī, Maḥmūd *1941-* [VerfasserIn] ; 1941-* [VerfasserIn] Ūsaṭī, Muḥammad Ḥusain [MitwirkendeR] ; اوسطی, محمد حسین [MitwirkendeR]","Marʿašī, Maḥmūd",,VerfasserIn,Čāp-i awwal - چاپ اول,"Persian, Arabic","Qum : Kitābḫāna-i Buzurg-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī wa ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī ; قم : کتابخانه بزرگ حضرت آیت الله العظمی مرعشی نجفی و گنجینه جهانی مخطوطات اسلامی, 1401 h.š. = 1443 h.q. = 2022",803 Seiten : Faksimiles,Katalog,,"In arabischer Schrift, persisch und arabisch",978-600-161-169-8,KJQ 200 Allgemeines {Neupersisch} APH 700 Orientalische Handschriften {Kataloge} APC 600 Asien {Handschriftenkataloge},HG-LS,APA 800 IRN QOM = FA 12716:51,,,,,,Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ] Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ],Katalog der Handschriften der Wissenschaftlichen Allgemeinbibliothek in Qum/Iran,,,,,,,,,,
Fihrist-i nusḫahā-i ḫaṭṭī-i Kitābḫāna-i buzurg-i Haḍrat-i Āyatallāh al-ʿUẓmā-i Marʿašī Naǧafī : ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī : Īrān - Qum / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad ʿAlī Ṣāliḥī فهرست نسخه‌هاى خطى کتابخانه بزرگ حضرت ايت الله العظمى مرعشى نجفى : گنجينۀ جهانى مخطوطات اسلامى : ایران - قم / سید محمود مرعشی نجفی ; با همکاری محّمد علی صالحی,Ǧild 53: 20901-21300 / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad ʿAlī Ṣāliḥī جلد ۵۳: ۲۰۹۰۱-۲۱۳۰۰ / سید محمود مرعشی نجفی ; با همکاری محّمد علی صالحی,"Marʿašī, Maḥmūd *1941-* [VerfasserIn] ; 1941-* [VerfasserIn] Ṣāliḥī, Muḥammad ʿAlī *1971-* [MitwirkendeR] ; صالحى, محمد على *1971-* [MitwirkendeR]","Marʿašī, Maḥmūd",,VerfasserIn,Čāp-i awwal - چاپ اول,"Persian, Arabic","Qum : Kitābḫāna-i Buzurg-i Ḥaḍrat Āyatallāh al-ʿUẓmā Marʿašī Naǧafī wa ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī ; قم : کتابخانه بزرگ حضرت آیت الله العظمی مرعشی نجفی و گنجینه جهانی مخطوطات اسلامی, 1401 h.š. = 1444 h.q. = 2022",694 Seiten : Faksimiles,Katalog,,"In arabischer Schrift, persisch und arabisch",978-600-161-130-8,KJQ 200 Allgemeines {Neupersisch} APH 700 Orientalische Handschriften {Kataloge} APC 600 Asien {Handschriftenkataloge},HG-LS,APA 800 IRN QOM = FA 12716:53,,,,,,Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ] Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ],Katalog der Handschriften der Wissenschaftlichen Allgemeinbibliothek in Qum/Iran,,,,,,,,,,
Fihrist-i nusḫahā-i ḫaṭṭī-i Kitābḫāna-i buzurg-i Haḍrat-i Āyatallāh al-ʿUẓmā-i Marʿašī Naǧafī : ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī : Īrān - Qum / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad Ḥusain Amīnī فهرست نسخه‌هاى خطى کتابخانه بزرگ حضرت آیت الله العظمى مرعشى نجفى : گنجينۀ جهانى مخطوطات اسلامى : ایران - قم / سید محمود مرعشی نجفی ; با همکاری محّمد حسین امینی,Ǧild 55: 21701-22100 / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad Ḥusain Amīnī جلد ۵۵: ۲۱۷۰۱ - ۲۲۱۰۰ / سید محمود مرعشی نجفی ; با همکاری محّمد حسین امینی,"Marʿašī, Maḥmūd *1941-* [VerfasserIn] ; 1941-* [VerfasserIn] Amīnī, Muḥammad Ḥusain *1967-* [MitwirkendeR] ; امینی, محمد حسین *1967-* [MitwirkendeR]","Marʿašī, Maḥmūd",,VerfasserIn,Čāp-i awwal - چاپ اول,"Persian, Arabic","Qum : Kitābḫāna-i Buzurg-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī wa ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī ; قم : کتابخانه بزرگ حضرت آیت الله العظمی مرعشی نجفی و گنجینه جهانی مخطوطات اسلامی, 1401 h.š. = 1443 h.q. = 2022",600 Seiten : Faksimiles,Katalog,,"In arabischer Schrift, persisch und arabisch",978-600-161-161-2,KJQ 200 Allgemeines {Neupersisch} APH 700 Orientalische Handschriften {Kataloge} APC 600 Asien {Handschriftenkataloge},HG-LS,APA 800 IRN QOM = FA 12716:55,,,,,,Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ] Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ],Katalog der Handschriften der Wissenschaftlichen Allgemeinbibliothek in Qum/Iran,,,,,,,,,,
Fihrist-i nusḫahā-i ḫaṭṭī-i Kitābḫāna-i buzurg-i Haḍrat-i Āyatallāh al-ʿUẓmā-i Marʿašī Naǧafī : ganǧīna-i ǧahānī-i maḫṭūṭāt-i Islāmī : Īrān - Qum / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad Ḥusain Ūsaṭī فهرست نسخه‌هاى خطى کتابخانه بزرگ حضرت آیت الله العظمى مرعشى نجفى : گنجينۀ جهانى مخطوطات اسلامى : ایران - قم / سید محمود مرعشی نجفی ; با همکاری محّمد حسین اوسطی,Ǧild 56: 22101-22500 / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad Ḥusain Ūsaṭī جلد ۵۶: ۲۲۱۰۱-۲۲۵۰۰ / سید محمود مرعشی نجفی ; با همکاری محّمد حسین اوسطی,"Marʿašī, Maḥmūd *1941-* [VerfasserIn] ; 1941-* [VerfasserIn] Ūsaṭī, Muḥammad Ḥusain [MitwirkendeR] ; اوسطی, محمد حسین [MitwirkendeR]","Marʿašī, Maḥmūd",,VerfasserIn,Čāp-i awwal - چاپ اول,"Persian, Arabic","Qum : Kitābḫāna-i Buzurg-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī wa ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī ; قم : کتابخانه بزرگ حضرت آیت الله العظمی مرعشی نجفی و گنجینه جهانی مخطوطات اسلامی, 1401 h.š. = 1444 h.q. = 2022",862 Seiten : Faksimiles,Katalog,,"In arabischer Schrift, persisch und arabisch",978-600-161-153-7,KJQ 200 Allgemeines {Neupersisch} APH 700 Orientalische Handschriften {Kataloge} APC 600 Asien {Handschriftenkataloge},HG-LS,APA 800 IRN QOM = FA 12716:56,,,,,,Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ] Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ],Katalog der Handschriften der Wissenschaftlichen Allgemeinbibliothek in Qum/Iran,,,,,,,,,,
